episode,time,price,action,portfolio,reward,total value
1,1,7.33,0.0,0.0,0.0,120000.0
1,2,7.3,0.0,0.0,0.0,120000.0
1,3,7.31,0.0,0.0,0.0,120000.0
1,4,7.2,0.0,0.0,0.0,120000.0
1,5,7.2,0.0,0.0,0.0,120000.0
1,6,7.16,0.0,0.0,0.0,120000.0
1,7,7.21,0.0,0.0,0.0,120000.0
1,8,7.11,0.0,0.0,0.0,120000.0
1,9,7.14,0.0,0.0,0.0,120000.0
1,10,7.07,0.0,0.0,0.0,120000.0
1,11,7.06,0.0,0.0,0.0,120000.0
1,12,7.06,0.0,0.0,0.0,120000.0
1,13,7.11,0.0,0.0,0.0,120000.0
1,14,7.13,0.0,0.0,0.0,120000.0
1,15,7.17,0.0,0.0,0.0,120000.0
1,16,7.29,0.0,0.0,0.0,120000.0
1,17,7.32,0.0,0.0,0.0,120000.0
1,18,7.34,0.0,0.0,0.0,120000.0
1,19,7.35,0.0,0.0,0.0,120000.0
1,20,7.42,0.0,0.0,0.0,120000.0
1,21,7.45,0.0,0.0,0.0,120000.0
1,22,7.39,0.0,0.0,0.0,120000.0
1,23,7.34,0.0,0.0,0.0,120000.0
1,24,7.32,0.0,0.0,0.0,120000.0
1,25,7.41,0.0,0.0,0.0,120000.0
1,26,7.38,0.0,0.0,0.0,120000.0
1,27,7.34,0.0,0.0,0.0,120000.0
1,28,7.22,0.0,0.0,0.0,120000.0
1,29,7.29,0.0,0.0,0.0,120000.0
1,30,7.23,0.0,0.0,0.0,120000.0
1,31,7.32,0.0,0.0,0.0,120000.0
1,32,7.35,136.47540983606558,136.47540983606558,-0.0004999999583333376,120004.09426229508
1,33,7.34,0.0,136.47540983606558,0.0002047131118944534,120002.72950819672
1,34,7.41,0.0,136.47540983606558,0.00013647540898852967,120012.28278688525
1,35,7.45,0.0,136.47540983606558,0.0006141392670513194,120017.7418032787
1,36,7.41,0.0,136.47540983606558,0.0008870899312425324,120012.28278688525
1,37,7.39,0.0,136.47540983606558,0.0006141392670513194,120009.55327868853
1,38,7.48,0.0,136.47540983606558,0.0004776638980981453,120021.83606557376
1,39,7.54,0.0,136.47540983606558,0.0010918028448660185,120030.02459016393
1,40,7.58,0.0,136.47540983606558,0.0015012283804287665,120035.48360655738
1,41,7.64,0.0,136.47540983606558,0.0017741784663326558,120043.67213114754
1,42,7.64,0.0,136.47540983606558,0.002183603086804839,120043.67213114754
1,43,7.66,0.0,136.47540983606558,0.002183603086804839,120046.40163934426
1,44,7.65,0.0,136.47540983606558,0.002320077804391334,120045.0368852459
1,45,7.78,0.0,136.47540983606558,0.0022518404560838315,120062.77868852459
1,46,7.81,0.0,136.47540983606558,0.0031389241170579184,120066.87295081967
1,47,7.8,0.0,136.47540983606558,0.00334363508040294,120065.5081967213
1,48,7.82,0.0,136.47540983606558,0.003275398122911903,120068.23770491804
1,49,7.84,0.0,136.47540983606558,0.003411872006755825,120070.96721311475
1,50,7.8,0.0,136.47540983606558,0.0035483457635045994,120065.5081967213
1,51,7.83,0.0,136.47540983606558,0.003275398122911903,120069.60245901639
1,52,7.86,0.0,136.47540983606558,0.0034801089013343765,120073.69672131147
1,53,7.89,0.0,136.47540983606558,0.0036848193880753464,120077.79098360655
1,54,7.93,0.0,136.47540983606558,0.0038895295659776806,120083.25
1,55,7.94,0.0,136.47540983606558,0.004162475959777941,120084.61475409837
1,56,7.86,0.0,136.47540983606558,0.0042307124629080255,120073.69672131147
1,57,7.83,0.0,136.47540983606558,0.0036848193880753464,120069.60245901639
