time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.278561506412712e-09,5.227899252852105e-07,10.00397153300285,6.282636636104989,6.282808501187892,0.0,1.5555841985823138e-05,4.164380743549274e-06,0.13237751196339057,-0.04244757968493183,-0.023405998524483853,0.0,447.9350907062818,446.02804340549943,448.85265122333783,445.3950934232853
0.12000000000000001,1.3833570156295485e-05,-1.9963927141247143e-05,10.014493520162391,6.279850199481864,6.281400766719738,0.0,0.0005857564505337593,-0.000952012072093432,0.2183417059776919,-0.05594098789733666,-0.023574950924915385,0.0,431.97176920438955,431.957451083873,433.50612782327414,432.3696139322279
0.18,9.687030720500463e-05,-0.00016941361741261185,10.033346182058684,6.2759933601925475,6.28000518319636,0.0,0.002344434663326165,-0.004434176231232325,0.4100283610040467,-0.09146310668839935,-0.022636680823684318,0.0,465.33554299033216,465.4089495148995,466.3350052527584,463.54910190229924
0.23999999999999996,0.00030578296877096844,-0.0005988668266289767,10.06018835577311,6.27020645889597,6.27823443725026,0.0,0.004767209189466873,-0.010432074840410943,0.484675971310576,-0.10896135035185063,-0.04909368116267908,0.0,429.79109768754904,427.54277228753745,430.0413465043264,428.54831467351215
0.3,0.0007107183343673799,-0.0015329270217573766,10.093346431530847,6.263939000449334,6.275745506048448,0.0,0.009018471963539547,-0.021388077090200967,0.6205165740636563,-0.09670825701267384,-0.029471523809214528,0.0,447.2096575873392,448.8038547773992,448.3484101779594,449.33318680607704
0.36000000000000004,0.001380236563853235,-0.0031524992502968826,10.1294661627654,6.258149999706275,6.274159639701697,0.0,0.0134355296493854,-0.033071690411743536,0.5834831832566624,-0.09603761794248855,-0.020955494443840796,0.0,390.83397710127196,391.62650855382356,391.68154449539713,391.73457747939517
0.4200000000000001,0.0023996596219595006,-0.005738535245143427,10.169865701879564,6.252426736231154,6.273069807868412,0.0,0.020677263122168988,-0.053780285461397084,0.7630457171719623,-0.09411956293361652,-0.013095757265596572,0.0,462.14858474781016,462.7676560533633,461.3259346342498,461.4699592294776
0.48000000000000015,0.003891495911432888,-0.009744655764107246,10.222480822729777,6.246593230365976,6.272476010701869,0.0,0.029131458336977625,-0.08044468417890945,0.9905977170301832,-0.1042935044656913,-0.004163221547530833,0.0,475.68318365206983,476.3667584191903,477.1958120717119,476.4112055557739
0.5400000000000001,0.005831611250398031,-0.015245600721540374,10.282111920559549,6.23987464966819,6.271981650047675,0.0,0.03557035278789679,-0.10348506977654368,0.997076489352833,-0.13537113626420785,-0.01798328710604378,0.0,407.5208820400847,406.2839206062659,409.1502816441911,406.36117937842886
0.6000000000000002,0.008188665060998693,-0.022330004521818877,10.343793533449032,6.231761667942772,6.270679342032345,0.0,0.043110984409564256,-0.13344167397332873,1.0588824334532,-0.13490893821476313,-0.030441277747998437,0.0,426.6817236153283,425.61689793172735,425.5918857626231,425.6136714078082
0.6600000000000003,0.011076447617502011,-0.03157704149751411,10.413082267178948,6.223670836175053,6.268465772541173,0.0,0.05337397120039925,-0.17571838837422948,1.2504946525911433,-0.13472413347284692,-0.05469320976400003,0.0,466.4630430532313,464.5648371779077,467.60941233517786,467.60801355812754
0.7200000000000003,0.014591207855590475,-0.04336347842106035,10.490801229652671,6.2156698826884025,6.265294219289725,0.0,0.06410748930730777,-0.21796481499470038,1.3399763718007243,-0.1307349437931928,-0.0494239570114801,0.0,435.26869627783947,435.70750206983524,435.5342124482308,435.8509210287736
0.7800000000000004,0.01876123378837055,-0.05765109932336226,10.571045251192361,6.207929803583092,6.262055034033656,0.0,0.07516028527933433,-0.2589638607647457,1.33477296319098,-0.12574509808876022,-0.06517445601110565,0.0,405.1851017170613,403.7644038813319,404.4152108564837,404.84733600965126
0.8400000000000004,0.02370781028437143,-0.07472098538035402,10.653406110897132,6.200140481311326,6.257915741394118,0.0,0.09011917712960921,-0.3107792407522238,1.4104229854448713,-0.13955542066022436,-0.07797710530718473,0.0,432.3095324006737,431.22568651269717,432.11025316896007,430.92841097526235
0.9000000000000005,0.029585894686211665,-0.09489168986076779,10.738325183310483,6.191471564970604,6.253046172720536,0.0,0.10624013530223002,-0.36233095524850273,1.4201154502228832,-0.15679889065323088,-0.08843035553227276,0.0,410.5614822963652,409.6270588186585,411.0174522048365,409.46477105061376
0.9600000000000005,0.036664550947205984,-0.1187491195296638,10.82844314097368,6.182155559077909,6.248559301795144,0.0,0.1302457233982674,-0.4339401045672804,1.5834719493147316,-0.1523697995990195,-0.056168996441905275,0.0,458.21311122551964,460.76578280473285,459.8674607267982,460.19621852924604
1.0200000000000005,0.045277661295084516,-0.14711020300715194,10.92831735977362,6.173338119275897,6.244932321616346,0.0,0.15723744383046098,-0.5124029410320249,1.745296497629208,-0.13789111822769307,-0.0707874635216822,0.0,460.32155416742654,459.1608415289265,459.7548795741463,460.88093532674594
1.0800000000000005,0.055514692852231075,-0.18014339269805166,11.035813942619733,6.165818078984355,6.24080624041744,0.0,0.18441450281893063,-0.5894784808236638,1.8376495451693382,-0.10779098350095817,-0.06500936583182697,0.0,439.17723236432414,439.65254453859814,437.71758740210186,440.20003799002933
1.1400000000000006,0.06745598009150913,-0.2179231332427687,11.148604594716371,6.15927203711507,6.236954395458458,0.0,0.21400948928540142,-0.6704816986250893,1.9217791197377339,-0.11185539871461964,-0.0626217871789176,0.0,436.7465332790175,436.9425142684899,437.6120013090044,437.262847291657
